============================================================================================================
Arguments =
	approach: bic
	batch_size: 100
	clipping: 10000
	datasets: ['miniimagenet']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 5
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 10
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 10
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../miniimagenet_bic_result10t
	save_models: False
	seed: 1234
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	T: 2
	lamb: -1
	num_bias_epochs: 200
	val_exemplar_percentage: 0.1
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 50
============================================================================================================
WARNING: ../miniimagenet_bic_result10t/miniimagenet_bic already exists!
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 50 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time=  3.3s | Train: skip eval | Valid: time=  0.5s loss=3.372, TAw acc= 25.2% | *
| Epoch   2, time=  1.2s | Train: skip eval | Valid: time=  0.5s loss=4.147, TAw acc= 31.2% |
| Epoch   3, time=  2.6s | Train: skip eval | Valid: time=  0.7s loss=2.896, TAw acc= 25.4% | *
| Epoch   4, time=  1.2s | Train: skip eval | Valid: time=  0.5s loss=2.682, TAw acc= 28.8% | *
| Epoch   5, time=  1.4s | Train: skip eval | Valid: time=  0.4s loss=1.793, TAw acc= 36.4% | *
| Epoch   6, time=  1.4s | Train: skip eval | Valid: time=  0.7s loss=2.061, TAw acc= 33.2% |
| Epoch   7, time=  1.4s | Train: skip eval | Valid: time=  0.4s loss=1.827, TAw acc= 37.2% |
| Epoch   8, time=  1.5s | Train: skip eval | Valid: time=  1.1s loss=1.652, TAw acc= 42.6% | *
| Epoch   9, time=  1.6s | Train: skip eval | Valid: time=  0.5s loss=1.827, TAw acc= 39.4% |
| Epoch  10, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=1.737, TAw acc= 41.0% |
| Epoch  11, time=  1.6s | Train: skip eval | Valid: time=  0.5s loss=1.691, TAw acc= 42.4% |
| Epoch  12, time=  1.3s | Train: skip eval | Valid: time=  0.5s loss=1.824, TAw acc= 41.0% |
| Epoch  13, time=  1.4s | Train: skip eval | Valid: time=  0.5s loss=2.070, TAw acc= 38.8% | lr=5.0e-02
| Epoch  14, time=  1.3s | Train: skip eval | Valid: time=  0.7s loss=1.900, TAw acc= 39.8% |
| Epoch  15, time=  1.5s | Train: skip eval | Valid: time=  0.6s loss=1.746, TAw acc= 38.6% |
| Epoch  16, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=1.801, TAw acc= 40.8% |
| Epoch  17, time=  1.5s | Train: skip eval | Valid: time=  0.6s loss=1.684, TAw acc= 40.4% |
| Epoch  18, time=  1.6s | Train: skip eval | Valid: time=  0.8s loss=1.765, TAw acc= 42.0% | lr=5.0e-02
| Epoch  19, time=  1.6s | Train: skip eval | Valid: time=  0.7s loss=1.895, TAw acc= 39.2% |
| Epoch  20, time=  1.4s | Train: skip eval | Valid: time=  0.8s loss=1.769, TAw acc= 38.8% |
| Epoch  21, time=  1.4s | Train: skip eval | Valid: time=  0.7s loss=7.229, TAw acc= 32.4% |
| Epoch  22, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=1.837, TAw acc= 38.2% |
